,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,1680,1050,-1,
1,2,1,1,0,0,0,655,8,370,25,-1,
2,3,1,1,1,0,0,655,8,370,25,-1,
3,4,1,1,1,1,0,655,8,370,25,-1,
4,5,1,1,1,1,1,655,8,57,19,96,THE
5,5,1,1,1,1,2,721,8,124,19,96,BAKER'S
6,5,1,1,1,1,3,854,8,74,19,96,TALE
7,5,1,1,1,1,4,937,8,59,25,96,(part
8,5,1,1,1,1,5,1003,8,22,25,96,2)
9,2,1,2,0,0,0,531,74,618,124,-1,
10,3,1,2,1,0,0,531,74,618,124,-1,
11,4,1,2,1,1,0,553,74,574,25,-1,
12,5,1,2,1,1,1,553,74,34,19,95,"""A"
13,5,1,2,1,1,2,595,74,53,19,95,dear
14,5,1,2,1,1,3,656,74,62,19,95,uncle
15,5,1,2,1,1,4,727,74,24,19,96,of
16,5,1,2,1,1,5,757,74,56,19,96,mine
17,5,1,2,1,1,6,822,74,64,25,96,(after
18,5,1,2,1,1,7,893,74,70,19,96,whom
19,5,1,2,1,1,8,971,74,10,19,96,I
20,5,1,2,1,1,9,988,80,43,13,96,was
21,5,1,2,1,1,10,1040,74,87,25,96,named)
22,4,1,2,1,2,0,610,107,477,24,-1,
23,5,1,2,1,2,1,610,107,129,24,92,"Remarked,"
24,5,1,2,1,2,2,747,107,62,19,96,when
25,5,1,2,1,2,3,817,107,10,19,96,I
26,5,1,2,1,2,4,835,107,56,19,96,bade
27,5,1,2,1,2,5,900,107,44,19,93,him
28,5,1,2,1,2,6,952,107,135,19,89,"farewell—"""
29,4,1,2,1,3,0,531,140,618,25,-1,
30,5,1,2,1,3,1,531,140,58,24,95,"""Oh,"
31,5,1,2,1,3,2,598,140,48,25,96,skip
32,5,1,2,1,3,3,654,146,56,19,96,your
33,5,1,2,1,3,4,718,140,53,19,96,dear
34,5,1,2,1,3,5,779,140,85,19,5,"uncle!"""
35,5,1,2,1,3,6,874,140,36,19,96,the
36,5,1,2,1,3,7,919,140,98,19,96,Bellman
37,5,1,2,1,3,8,1026,140,123,24,96,"exclaimed,"
38,4,1,2,1,4,0,676,173,347,25,-1,
39,5,1,2,1,4,1,676,173,30,19,95,As
40,5,1,2,1,4,2,715,173,26,19,95,he
41,5,1,2,1,4,3,750,173,85,25,92,angrily
42,5,1,2,1,4,4,842,173,82,25,91,tingled
43,5,1,2,1,4,5,933,173,33,19,96,his
44,5,1,2,1,4,6,975,173,48,19,96,bell.
